City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Olafsvik,IS,2022-04-22 23:46:41,64.8945,-23.7142,45.14,86,95,8.25
179,Awbari,LY,2022-04-22 23:46:42,26.5921,12.7805,72.37,19,1,8.48
180,Astana,KZ,2022-04-22 23:46:42,51.1801,71.446,22.95,80,0,6.71
181,Saldanha,ZA,2022-04-22 23:46:43,-33.0117,17.9442,55.45,75,0,17.54
182,Ardakan,IR,2022-04-22 23:47:43,32.31,54.0175,67.14,38,56,3.02
183,Imbituba,BR,2022-04-22 23:47:44,-28.24,-48.6703,76.86,84,100,5.79
184,Hattiesburg,US,2022-04-22 23:47:44,31.3271,-89.2903,84.13,41,0,12.66
185,Maturin,VE,2022-04-22 23:47:45,9.75,-63.1767,78.84,64,85,9.84
186,Los Llanos De Aridane,ES,2022-04-22 23:47:45,28.6585,-17.9182,60.55,91,100,3.44
187,Konin,PL,2022-04-22 23:47:46,52.2234,18.2512,38.97,86,3,6.11
188,Hobyo,SO,2022-04-22 23:47:46,5.3505,48.5268,82.78,75,87,11.92
189,Saint-Augustin,CA,2022-04-22 23:47:47,51.226,-58.6502,32.76,100,100,3.51
190,Chokwe,MZ,2022-04-22 23:47:47,-24.5333,32.9833,67.21,92,85,3.29
191,Vila Velha,BR,2022-04-22 23:47:37,-20.3297,-40.2925,80.55,74,0,11.5
192,Quatre Cocos,MU,2022-04-22 23:47:48,-20.2078,57.7625,76.08,68,91,18.92
193,Abu Kamal,SY,2022-04-22 23:47:48,34.4506,40.9171,68.76,14,82,1.68
194,Hare Bay,CA,2022-04-22 23:47:49,48.8499,-54.0148,40.35,62,100,9.24
195,Mantua,IT,2022-04-22 23:47:49,45.1667,10.7833,54.55,90,96,1.01
196,Santa Comba,ES,2022-04-22 23:47:49,43.0331,-8.8093,45.86,97,100,1.86
197,Mamlyutka,KZ,2022-04-22 23:47:50,54.9375,68.5394,27.37,88,52,7.4
198,Satipo,PE,2022-04-22 23:47:50,-11.2522,-74.6386,77.07,76,92,1.01
199,Necochea,AR,2022-04-22 23:45:45,-38.5473,-58.7368,55.96,66,100,15.99
200,Manati,PR,2022-04-22 23:47:51,18.4275,-66.4921,79.57,83,96,9.8
201,Jalu,LY,2022-04-22 23:47:51,29.0331,21.5482,76.8,11,86,13.53
202,Yabassi,CM,2022-04-22 23:47:52,4.457,9.9682,74.93,98,74,1.7
203,Cassilandia,BR,2022-04-22 23:47:52,-19.1133,-51.7342,70.92,54,78,4.38
204,Ullapool,GB,2022-04-22 23:47:53,57.8987,-5.1604,47.35,88,2,5.03
