City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
30,Nizwa,OM,22.9333,57.5333,80.49,35,100,1.79,overcast clouds
31,Jamestown,US,42.097,-79.2353,42.39,59,100,17.27,overcast clouds
32,Quatre Cocos,MU,-20.2078,57.7625,73.51,81,37,8.5,light rain
33,Paita,PE,-5.0892,-81.1144,68.45,83,40,14.99,scattered clouds
34,Kvarkeno,RU,52.0833,59.725,50.77,59,99,7.83,overcast clouds
35,Narsaq,GL,60.9167,-46.05,39.42,88,100,2.84,overcast clouds
36,Chuy,UY,-33.6971,-53.4616,69.03,87,100,14.88,overcast clouds
37,Buturlino,RU,55.5667,44.8974,50.79,97,77,5.82,broken clouds
38,Leme,BR,-22.1856,-47.3903,67.59,72,5,2.51,clear sky
39,Havelock,US,34.8791,-76.9013,69.93,88,85,3.0,overcast clouds
40,Bubaque,GW,11.2833,-15.8333,78.31,74,6,7.72,clear sky
41,Swakopmund,NA,-22.6833,14.5333,59.99,87,5,1.99,clear sky
42,Port Alfred,ZA,-33.5906,26.891,56.17,90,40,7.09,scattered clouds
43,Hithadhoo,MV,-0.6,73.0833,84.49,72,100,6.31,overcast clouds
44,Gat,IL,31.61,34.7642,72.39,76,82,3.47,broken clouds
45,Cidreira,BR,-30.1811,-50.2056,71.24,92,13,13.67,few clouds
46,Envira,BR,-7.3,-70.2167,73.24,97,100,2.17,moderate rain
47,Jalu,LY,29.0331,21.5482,76.24,19,99,15.28,overcast clouds
48,Sao Filipe,CV,14.8961,-24.4956,73.74,71,7,16.49,clear sky
49,Plouzane,FR,48.3833,-4.6167,48.52,87,0,11.5,clear sky
50,Kutum,SD,14.2,24.6667,77.83,24,78,7.9,broken clouds
51,Gamba,GA,-2.65,10.0,77.56,91,100,4.61,light rain
52,Punta Arenas,CL,-53.15,-70.9167,37.51,70,40,5.75,scattered clouds
53,Segarcea Vale,RO,43.8167,24.8,52.48,74,5,1.5,clear sky
54,Mola Di Bari,IT,41.0609,17.0873,57.31,65,0,5.23,clear sky
55,Busselton,AU,-33.65,115.3333,60.24,77,12,7.47,few clouds
56,Parabel,RU,58.6978,81.4825,36.95,95,100,6.6,overcast clouds
57,Port Elizabeth,ZA,-33.918,25.5701,52.11,88,50,7.0,light rain
58,Skegness,GB,53.1436,0.3363,47.57,78,40,11.63,scattered clouds
59,Qaanaaq,GL,77.484,-69.3632,12.09,67,81,7.56,broken clouds
60,Ribeira Grande,PT,38.5167,-28.7,63.21,94,89,24.34,overcast clouds
61,Campo Verde,BR,-20.4167,-54.0667,74.32,76,80,6.64,broken clouds
62,Nanortalik,GL,60.1432,-45.2371,36.91,82,100,10.2,overcast clouds
63,Santa Lucia,ES,27.9117,-15.5407,56.77,72,40,16.11,scattered clouds
64,Saldanha,ZA,-33.0117,17.9442,56.25,81,0,11.52,clear sky
65,Laguna,US,38.421,-121.4238,79.45,40,0,12.66,clear sky
66,Zaozerne,UA,45.1582,33.2787,52.81,74,11,7.09,few clouds
67,Caravelas,BR,-17.7125,-39.2481,75.02,83,0,5.21,clear sky
68,Arraial Do Cabo,BR,-22.9661,-42.0278,76.26,90,1,15.28,clear sky
69,Marrakesh,MA,31.6315,-8.0083,62.67,55,40,5.75,scattered clouds
70,Key West,US,24.5557,-81.7826,80.6,69,0,9.22,clear sky
71,Hobyo,SO,5.3505,48.5268,82.74,69,95,8.12,overcast clouds
72,Constitucion,CL,-35.3333,-72.4167,50.22,87,6,5.53,clear sky
73,Bathsheba,BB,13.2167,-59.5167,77.61,88,40,4.61,scattered clouds
74,Progreso,MX,21.2833,-89.6667,82.51,79,4,15.64,clear sky
75,Bambous Virieux,MU,-20.3428,57.7575,73.65,88,20,9.22,light rain
76,Saint George,US,37.1041,-113.5841,83.62,6,0,5.75,clear sky
77,Marawi,PH,7.9986,124.2928,78.12,76,100,1.95,overcast clouds
78,Asosa,ET,10.0667,34.5333,69.1,42,100,2.13,overcast clouds
